Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,OuterLoop_16,OuterLoop_17,OuterLoop_18,OuterLoop_19,OuterLoop_20,OuterLoop_21,OuterLoop_22,OuterLoop_23,OuterLoop_24,OuterLoop_25,OuterLoop_26,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,InnerLoop_3_4,InnerLoop_3_5,InnerLoop_4_1,InnerLoop_4_2,DesignLatency_Msec,BRAM_Utilization,DSP_Utilization,FF_Utilization,LUT_Utilization
#pragma HLS array_partition variable=w_buf block factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=delta_buf block factor=4 dim=1,#pragma HLS array_partition variable=ly_buf cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=8,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,43.43407911,58,2,17,26
#pragma HLS array_partition variable=w_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf complete dim=1,#pragma HLS array_partition variable=delta_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=ly_buf cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,43.433945910000006,58,2,22,30
#pragma HLS array_partition variable=w_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=2 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=delta_buf block factor=2 dim=1,#pragma HLS array_partition variable=ly_buf block factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,44.308114200000006,58,0,14,23
#pragma HLS array_partition variable=w_buf block factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf complete dim=1,#pragma HLS array_partition variable=delta_buf block factor=4 dim=1,#pragma HLS array_partition variable=ly_buf cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=8,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,43.43401917,58,2,17,27
#pragma HLS array_partition variable=w_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=2 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf cyclic factor=2 dim=1,#pragma HLS array_partition variable=delta_buf cyclic factor=2 dim=1,#pragma HLS array_partition variable=ly_buf block factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,44.308114200000006,58,0,14,23
#pragma HLS array_partition variable=w_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf complete dim=1,#pragma HLS array_partition variable=delta_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=ly_buf cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,43.433945910000006,58,2,22,30
#pragma HLS array_partition variable=w_buf block factor=2 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=2 dim=2,#pragma HLS array_partition variable=w0_buf block factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf cyclic factor=2 dim=1,#pragma HLS array_partition variable=delta_buf block factor=4 dim=1,#pragma HLS array_partition variable=ly_buf cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,44.30816082,58,0,14,23
#pragma HLS array_partition variable=w_buf block factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf complete dim=1,#pragma HLS array_partition variable=delta_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=ly_buf block factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,43.433945910000006,58,2,22,30
#pragma HLS array_partition variable=w_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=2 dim=2,#pragma HLS array_partition variable=w0_buf block factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf cyclic factor=2 dim=1,#pragma HLS array_partition variable=delta_buf block factor=2 dim=1,#pragma HLS array_partition variable=ly_buf cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,44.308114200000006,58,0,14,23
#pragma HLS array_partition variable=w_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=oldw_buf cyclic factor=4 dim=2,#pragma HLS array_partition variable=w0_buf cyclic factor=4 dim=1,#pragma HLS array_partition variable=oldw0_buf complete dim=1,#pragma HLS array_partition variable=delta_buf cyclic factor=8 dim=1,#pragma HLS array_partition variable=ly_buf cyclic factor=4 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=8,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,43.43407578,58,2,17,26
